cca2,name,area,pop2019,GrowthRate,pop2012
IS,Iceland,103000,340.566,1.008247972,321.536136
LU,Luxembourg,2586,596.992,1.011300631,551.8315957
CY,Cyprus,9251,1198.427,1.007856461,1134.542567
EE,Estonia,45227,1303.798,0.997711947,1324.872548
SI,Slovenia,20273,2081.9,1.000307506,2077.424129
NZ,New Zealand,270467,4792.409,1.009013605,4500.644612
IE,Ireland,70273,4847.139,1.009032739,4551.438432
NO,Norway,323802,5400.916,1.008882827,5076.709513
FI,Finland,338424,5561.389,1.003404951,5430.622264
DK,Denmark,43094,5775.224,1.00362647,5630.721977
SG,Singapore,710,5868.104,1.01315682,5355.019988
IL,Israel,20770,8583.916,1.015506621,7707.36887
CH,Switzerland,41284,8608.259,1.007516941,8168.622449
AT,Austria,83871,8766.201,1.001643201,8666.028082
SE,Sweden,450295,10053.135,1.007054798,9570.393452
PT,Portugal,92090,10254.666,0.996450364,10513.12502
CZ,Czech Republic,78865,10630.589,1.000502482,10593.27226
GR,Greece,131990,11124.603,0.998424184,11248.09248
BE,Belgium,30528,11562.784,1.005588981,11120.36067
NL,Netherlands,41850,17132.908,1.002835852,16796.6286
AU,Australia,7692024,25088.636,1.012771914,22955.96258
CA,Canada,9984670,37279.811,1.008823079,35056.50668
ES,Spain,505992,46441.049,1.000939642,46136.72813
KR,South Korea,100210,51339.238,1.003416494,50128.04509
IT,Italy,301336,59216.525,0.998744429,59739.60245
FR,France,551695,65480.71,1.003793141,63768.14931
GB,United Kingdom,242900,66959.016,1.005790772,64306.59805
DE,Germany,357114,82438.639,1.001764199,81427.71852
TR,Turkey,783562,82961.805,1.012756029,75917.92529
JP,Japan,377930,126854.745,0.997400746,129187.0247
US,United States,9372610,329093.11,1.007119335,313149.8824
