State,Permissive,Restrictive
Alabama,5,5
Alaska,4,3
Arizona,4,5
Arkansas,2,3
California,2,27
Colorado,5,7
Connecticut,7,20
Delaware,2,11
District of Columbia,2,14
Florida,3,8
Georgia,9,8
Hawaii,6,19
Idaho,5,5
Illinois,3,12
Indiana,8,9
Iowa,4,8
Kansas,5,4
Kentucky,5,4
Louisiana,6,3
Maine,4,2
Maryland,3,15
Massachusetts,2,17
Michigan,7,10
Minnesota,5,9
Mississippi,5,3
Missouri,9,9
Montana,4,1
Nebraska,1,9
Nevada,4,6
New Hampshire,5,6
New Jersey,3,16
New Mexico,1,2
New York,2,14
North Carolina,3,9
North Dakota,3,3
Ohio,2,5
Oklahoma,4,5
Oregon,4,7
Pennsylvania,7,10
Rhode Island,4,14
South Carolina,5,2
South Dakota,4,2
Tennessee,8,7
Texas,5,3
Utah,9,3
Vermont,0,1
Virginia,5,9
Washington,3,7
West Virginia,4,2
Wisconsin,3,8
Wyoming,4,0
